,error,X1,X2,X3,y
0,0.218270979,0.589840703,0.418125117,0.684960873,3.783256161
1,0.122329134,0.640783298,0.419301771,0.48435971,3.753640408
2,0.132419964,0.604597393,0.485548363,0.49864368,3.675494643
3,0.316794631,0.595721942,0.49863117,0.450540715,3.586358842
4,0.283602109,0.625843509,0.484913607,0.575961247,3.905008637
5,0.317307346,0.70320262,0.48395104,0.608882485,4.390381975
6,0.286500192,0.696213552,0.501224515,0.507419203,4.21707845
7,0.125409956,0.693805483,0.510689633,0.544088398,4.276460996
8,0.072929148,0.719185882,0.500616532,0.406236248,4.206106259
9,0.096730218,0.711638468,0.598898036,0.500601596,4.469034615
10,0.09144689,0.689587633,0.59772064,0.621157472,4.55693174
11,0.283563711,0.699452119,0.61615776,0.39628352,4.28071847
12,0.22255849,0.677645348,0.570468973,0.695485711,4.587783961
13,0.300831188,0.70351249,0.613511936,0.43301157,4.348935704
14,0.013801176,0.701701009,0.609195618,0.590870428,4.591076198
15,0.285209268,0.747550165,0.59187197,0.499596851,4.654858374
16,0.219225027,0.735131113,0.515360906,0.635984495,4.68038849
17,0.182755925,0.624269559,0.471777336,0.586740154,3.891524165
18,0.284751352,0.598737317,0.494335947,0.37887119,3.51671367
19,0.077423041,0.609644354,0.52323788,0.568474575,3.868384084
20,0.077579256,0.587132416,0.50033653,0.563471333,3.695955794
21,0.102485392,0.634412555,0.463085784,0.366363604,3.650951425
22,0.176517239,0.617717189,0.519522166,0.381681634,3.65906978
23,0.09746203,0.608873063,0.393233325,0.399237508,3.453810685
24,0.316032113,0.623712877,0.385316016,0.470496656,3.597330983
25,0.190988571,0.584075053,0.37703721,0.268324202,3.20003075
26,0.136395362,0.597339539,0.366362492,0.488926923,3.451793202
27,0.188874907,0.613470931,0.392135829,0.382304965,3.460939316
28,0.283236429,0.600627963,0.295877897,0.277723352,3.210814262
29,0.159378496,0.575705343,0.304098815,0.417599345,3.190046956
30,0.029961092,0.511507002,0.338511367,0.576201299,3.062967945
31,0.039807899,0.481533712,0.303884637,0.63374769,2.940023889
32,0.088707789,0.511130931,0.305884182,0.397420232,2.836260287
33,0.281207674,0.590741358,0.214733807,0.555856883,3.312587589
34,0.285520846,0.58214465,0.21081674,0.486060727,3.189305659
35,0.332453904,0.569673192,0.179327603,0.379500576,3.012718418
36,0.108640017,0.599953446,0.169579455,0.461926982,3.2210815
37,0.152919344,0.58091056,0.209477809,0.371171415,3.089903497
38,0.319291116,0.592652565,0.186260344,0.39366357,3.145873391
39,0.182905392,0.594998933,0.164728608,0.379013065,3.130872428
40,0.002220783,0.552278266,0.186877029,0.403795925,2.945503783
41,0.238419255,0.624603331,0.229272116,0.577825152,3.534001616
42,0.121421847,0.602642445,0.201069475,0.558239439,3.362893119
43,0.116575746,0.596189667,0.194731554,0.484321875,3.244931544
44,0.114143821,0.612474643,0.177939769,0.447711993,3.281364395
45,0.247531748,0.596430043,0.18729139,0.603874713,3.372353165
46,0.070134189,0.589358215,0.199697116,0.425925886,3.164195553
47,0.235015696,0.610852653,0.180770491,0.39982633,3.239158864
48,0.317414844,0.599536532,0.331224949,0.475938453,3.40422608
49,0.230010841,0.635035302,0.303811512,0.521072353,3.610019691
50,0.221523681,0.600222775,0.419713032,0.689885291,3.853211719
51,0.270398137,0.556955905,0.472906545,0.504564681,3.402667642
52,0.117966078,0.592331912,0.489679666,0.415440803,3.514146718
53,0.263945567,0.605836836,0.514058423,0.485673264,3.710511955
54,0.161557687,0.591193002,0.472109796,0.440393403,3.510100011
55,0.049165907,0.61660575,0.521891215,0.476920202,3.77082298
56,0.237792271,0.689279206,0.50051559,0.555405449,4.251464894
57,0.16091002,0.695098264,0.546504155,0.294527479,4.023474035
58,0.294406592,0.692147711,0.617415291,0.447716038,4.314340973
59,0.055457787,0.714688086,0.563543126,0.412780792,4.293855337
60,0.009993657,0.700459802,0.617136961,0.459190714,4.376977795
61,0.022476137,0.711531022,0.634400739,0.572271924,4.664177984
62,0.316494267,0.714289081,0.618006378,0.476217262,4.481813346
63,0.218739993,0.702719916,0.611009662,0.679441262,4.784051507
64,0.239867206,0.682545774,0.602770254,0.483153083,4.286402641
65,0.120377649,0.69799104,0.615259397,0.538867373,4.487802969
66,0.069365509,0.578106885,0.593123628,0.462096793,3.657898862
67,0.109431563,0.630557932,0.47902632,0.467613823,3.766994676
68,0.329331017,0.574923522,0.494571945,0.449692654,3.465889593
69,0.173874153,0.593852733,0.467155976,0.474885608,3.55808013
70,0.003851834,0.588110146,0.560517955,0.478882661,3.680276391
71,0.27330459,0.606157464,0.505594169,0.618327456,3.901814439
72,0.119418494,0.616248947,0.489240477,0.473914228,3.712804125
73,0.137410049,0.603574643,0.362950014,0.58457685,3.605496921
74,0.302914894,0.594803359,0.413948593,0.606797775,3.667604408
